Nationality,Nation
Aalborgenser,Aalborg
Aberdonian,Aberdeen
Abkhaz,Abkhazia
Abkhazian,Abkhazia
Abrenian,Abra
Abruzzese,Abruzzo
Abyssinian,Abyssinia
Acadian,Acadia
Acadien,Acadie
Acadienne,Acadie
Acarnanian,Acarnania
Acehnese,Aceh
Achaean,Achaea
Acreano,Acre
Adelaidean,Adelaide
Adelaidian,Adelaide
Aeginetan,Aegina
Aethaean,Aethaea
Aetolian,Aetolia
Afghan,Afghanistan
African,Africa
AfroEurasian,AfroEurasia
Agote,Navarra
Aguascalentense,Aguascalientes
Akkadian,Akkadia
Aklan,Aklan
Aklanese,Aklan
Aklanon,Aklan
Akronite,Akron
Alabamian,Alabama
Alagoano,Alagoas
ÅlandIsland,ÅlandIslands
Ålandish,Åland
Alaskan,Alaska
Alavense,Álava
Alavés,Álava
Albaceteño,Albacete
Albacetense,Albacete
Albanense,Albacete
Albanian,Albania
Albasitense,Albacete
Albay,Albay
Albayan,Albay
Albayano,Albay
Albertan,Alberta
Alcarreño,Guadalajara
Aleppine,Aleppo
Aleut,AleutianIslands
Aleutian,AleutianIslands
Alexandrian,Alexandria
Algerian,Algeria
Alicantino,Alicante
Allahabadi,Allahabad
Almerian,Almería
Almeriense,Almería
Alorn,Aloria
Alpine,Alps
Alsatia,Alsace
Alsatian,Alsace
Amalfitan,Amalfi
Amapaense,Amapá
Amazonense,Amazonas
Amazonian,AmazonRiverAndRegion
American,UnitedStates
AmericanSamoan,AmericanSamoa
Americana,Americas
Amsterdammer,Amsterdam
Ancashino,Ancash
Andalusian,Andalusia
Andaman,AndamanAndNicobarIslands
Andamanese,AndamanAndNicobarIslands
Andhraite,Andhra
Andhrudu,AndhraPradesh
Andorran,Andorra
Andorrano,Andorra
Angeleno,LosAngeles
Angelino,Angeles
Angelopolitano,Puebla
Angolan,Angola
Anguillan,Anguilla
AnnArborite,AnnArbor
Annapolitan,Annapolis
Antarctic,Antarctica
Antarctican,Antarctica
Antiguans,AntiguaAndBarbuda
Antillean,Antilles
Antioquenian,Antioquia
Antipodean,Antipodesa
Antiquenian,Antique
Antiqueño,Antique
Aostain,Aosta
Aostan,Aosta
Apayao,Apayao
Apayaonian,Apayao
Apennine,Apennines
Appalachian,Appalachia
Apulian,Apulia
Aquilonemtexian,UniversityOfNorthTexas
Aquitanian,Aquitania
Arab,Haugesund
Araber,Haugesund
Aracajuense,Aracaju
Aragonese,Aragon
Arcadian,Arcadia
Arequipeño,Arequipa
Argentine,Argentina
Argentinean,Argentina
Argentinian,Argentina
