entity,type
RijndaelManaged,S-ENCR
AES,S-ENCR
ECB,B-ENCR
mode,E-ENCR
Quasar,S-MAL
NetSerializer,B-TOOL
library,E-TOOL
client,B-TOOL
and,I-TOOL
server,E-TOOL
quasar,B-MAL
1.2.0.0,E-MAL
Quasar,B-MAL
version,I-MAL
1.1.0.0,E-MAL
versions,E-MAL
1.3.0.0,E-MAL
serialization,B-TOOL
RAT,E-MAL
out-of-the-box,B-TOOL
server,S-TOOL
our,B-TOOL
app.progsupdate.com,S-DOM
185.141.25.68,S-IP
TCP,S-PROT
Get,B-FILE
System,I-FILE
Information,E-FILE
Quasar,B-TOOL
server,I-TOOL
GUI,E-TOOL
file,B-TOOL
system,E-TOOL
C2,S-TOOL
Double,B-ACT
Edged,I-ACT
Sword,I-ACT
Attack,E-ACT
IP,S-PROT
RAT,S-TOOL
File,B-TOOL
Manager,I-TOOL
window,E-TOOL
clients\user_name@machine_name_ipaddress,S-FILE
secret_info.doc,S-FILE
20KB,S-FILE
..\..\,B-FILE
secret_info.doc,E-FILE
the,B-TOOL
File,I-TOOL
RAT,B-TOOL
Server,I-TOOL
.NET,B-TOOL
Framework,E-TOOL
dnsapi.dll,S-FILE
DLL,S-TOOL
shfolder.dll,S-FILE
Downeks,S-MAL
.NET,S-TOOL
native-Downeks,S-MAL
Downeks,I-MAL
SharpDownloader,S-MAL
C#,S-TOOL
masquerades,B-TOOL
with,I-TOOL
icons,E-TOOL
filenames,S-TOOL
metadata,B-TOOL
imitating,I-TOOL
popular,I-TOOL
legitimate,I-TOOL
applications,E-TOOL
VMware,B-TOOL
workstation,E-TOOL
CCleaner,S-TOOL
DOC,S-TOOL
PDF,S-TOOL
Downeks.NET,S-MAL
Yano,S-TOOL
de4dot,I-TOOL
utility,E-TOOL
SHA256,S-ENCR
4dcf5bd2c7a5822831d9f22f46bd2369c4c9df17cc99eb29975b5e8ae7e88606,S-SHA2
905f6a62749ca6f0fd33345d6a8b1831d87e9fd1f81a59cd3add82643b367693,S-SHA2
c885f09b10feb88d7d176fe1a01ed8b480deb42324d2bb825e96fe1408e2a35f,S-SHA2
HTTP,S-PROT
json,S-TOOL
C2,S-TOOL
C2,S-TOOL
servers,E-TOOL
C2,S-TOOL
“,I-TOOL
img,I-TOOL
”,I-TOOL
command,E-TOOL
Downeks,B-MAL
.NET,E-MAL
Appdata\Roaming,S-TOOL
1FABFBFF0000065132F71D94,S-SHA2
000206511FABFBFF,S-SHA2
WMI,S-OS
registry,B-TOOL
run,I-TOOL
key,E-TOOL
shortcut,B-TOOL
in,I-TOOL
the,I-TOOL
start-up,I-TOOL
folder,E-TOOL
Dowenks,S-MAL
HTTP,B-TOOL
request,E-TOOL
com/raw,S-URL
Palo,B-IDTY
Alto,I-IDTY
Networks,E-IDTY
WildFire,S-TOOL
Traps,S-TOOL
servers,S-TOOL
DNS,S-PROT
URI,B-ACT
TERROR,I-ACT
ATTACK,E-ACT
KASHMIR,S-LOC
SPEAR,B-ACT
PHISHING,E-ACT
emails,S-TOOL
INDIAN,B-IDTY
EMBASSIES,E-IDTY
MINISTRY,I-IDTY
OF,I-IDTY
EXTERNAL,I-IDTY
AFFAIRS,E-IDTY
Indian,B-IDTY
government,I-IDTY
organizations,E-IDTY
Uri,B-ACT
terror,I-ACT
attack,E-ACT
Kashmir,S-LOC
spear,B-ACT
phishing,I-ACT
email,S-TOOL
Embassies,E-IDTY
Ministry,I-IDTY
of,I-IDTY
External,I-IDTY
Affairs,E-IDTY
MEA,S-IDTY
spear-phishing,S-ACT
malicious,B-TOOL
word,E-TOOL
Home,I-IDTY
name,B-TOOL
of,I-TOOL
top-ranking,I-TOOL
official,E-TOOL
Minister,B-IDTY
affairs,E-IDTY
Ministry,B-IDTY
MHA,S-IDTY
September,B-TIME
20th,I-TIME
",",I-TIME
2016,E-TIME
Embassy,E-IDTY
Japan,S-LOC
Sept,B-TIME
"20th,2016",E-TIME
embassy,E-IDTY
Thailand,S-LOC
Oct,B-TIME
"24th,2016",E-TIME
"1,2016",E-TIME
Jammu,B-LOC
&,I-LOC
Kashmir,E-LOC
Terror,I-ACT
attached,B-TOOL
word,I-TOOL
document,E-TOOL
Uri,B-FILE
Terror,I-FILE
Report.doc,E-FILE
mha-report.doc,S-FILE
macro,B-TOOL
code,E-TOOL
CommandButton1_Click(),S-TOOL
Bulbaknopka(),S-TOOL
chugnnarabashkoim(),S-TOOL
macro,I-TOOL
macro,S-TOOL
PowerShell,S-TOOL
base64,B-TOOL
encoded,I-TOOL
content,E-TOOL
pastebin,S-TOOL
Pastebin,S-TOOL
njRAT,B-MAL
trojan,E-MAL
officeupdate.exe,S-FILE
PowerShell,B-TOOL
script,E-TOOL
njRAT,S-MAL
Remote,B-TOOL
Access,I-TOOL
Tool,E-TOOL
RAT,S-MAL
middle,B-LOC
east,E-LOC
dropped,B-TOOL
file,E-TOOL
c2,S-TOOL
the,B-MAL
malware,E-MAL
googleupdate.exe,S-FILE
malib.dll,S-FILE
msccvs.dll,S-FILE
%AllUsersProfile%\Google,S-IDTY
malware,S-MAL
khanji.ddns.net,S-DOM
DynamicDNS,S-TOOL
Pakistan,S-LOC
hosting,B-TOOL
provider,I-TOOL
infrastructure,E-TOOL
July,B-TIME
21st,I-TIME
30,I-TIME
Google,S-IDTY
YouTube,S-IDTY
njRAT,B-TOOL
control,I-TOOL
panel/builder,I-TOOL
kit,E-TOOL
builder,I-TOOL
14b9d54f07f3facf1240c5ba89aa2410,S-FILE
2b0bd7e43c1f98f9db804011a54c11d6,S-FILE
feec4b571756e8c015c884cb5441166b,S-FILE
